epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,95841.2,1.15092,0.47236,1.04874,0.74167,0.65261,0.69177,0.4476,1.90649,0.78953,1.30741,0.000210425,0.000210425,0.000210425
119,96757.9,1.15061,0.47604,1.05522,0.74301,0.65458,0.69448,0.44925,1.90839,0.78771,1.30675,0.00020795,0.00020795,0.00020795
120,97629,1.13373,0.47358,1.04089,0.738,0.6552,0.69419,0.45052,1.91093,0.7913,1.30646,0.000205475,0.000205475,0.000205475
121,98755.1,1.13912,0.4521,1.04212,0.74577,0.65629,0.69435,0.4511,1.91335,0.79505,1.30635,0.000203,0.000203,0.000203
122,99319.4,1.1431,0.45648,1.05358,0.7413,0.65996,0.69506,0.45107,1.91227,0.79715,1.30618,0.000200525,0.000200525,0.000200525
123,99875.7,1.13249,0.45522,1.03544,0.7401,0.66315,0.69499,0.45168,1.91556,0.79695,1.30701,0.00019805,0.00019805,0.00019805
124,100691,1.14721,0.46051,1.05209,0.73751,0.65927,0.69485,0.45166,1.92713,0.7939,1.31268,0.000195575,0.000195575,0.000195575
125,101762,1.12782,0.46139,1.05141,0.74299,0.65664,0.69509,0.45076,1.92798,0.79332,1.31265,0.0001931,0.0001931,0.0001931
126,102522,1.13101,0.45902,1.04249,0.73118,0.66129,0.69504,0.45202,1.92898,0.7958,1.31562,0.000190625,0.000190625,0.000190625
127,103381,1.131,0.46369,1.04795,0.72707,0.6616,0.69545,0.45089,1.9298,0.79623,1.31628,0.00018815,0.00018815,0.00018815
128,103904,1.10227,0.44502,1.03686,0.73458,0.65961,0.69583,0.44949,1.92362,0.80104,1.31309,0.000185675,0.000185675,0.000185675
129,104903,1.10292,0.45682,1.02914,0.73238,0.667,0.69627,0.44911,1.91688,0.8005,1.31008,0.0001832,0.0001832,0.0001832
130,106033,1.11072,0.44598,1.0375,0.72865,0.66821,0.69547,0.44947,1.91222,0.79956,1.30976,0.000180725,0.000180725,0.000180725
